CHAMP;CODE;DESIGNATION;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2484;Erreur;2484
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2205;Erreur;2205
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2405;Erreur;2405
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2379;Erreur;2379
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2353;Erreur;2353
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2288;Erreur;2288
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2327;Erreur;2327
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2329;Erreur;2329
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2478;Erreur;2478
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2204;Erreur;2204
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2358;Erreur;2358
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2283;Erreur;2283
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2159;Erreur;2159
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2385;Erreur;2385
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2292;Erreur;2292
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2335;Erreur;2335
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2410;Erreur;2410
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2290;Erreur;2290
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2369;Erreur;2369
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2305;Erreur;2305
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2293;Erreur;2293
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2407;Erreur;2407
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2457;Erreur;2457
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2360;Erreur;2360
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2480;Erreur;2480
refIntEng;LOG008;Aucun engagement trouvé pour cette référence;Donnée inexistante dans le SIC;2315;Erreur;2315
