CHAMP;CODE;DESIGNATION;IDINTBEN;LIBELLE;REFINTENG;TYPE;VALEURACTUEL
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70400356814;Donnée inexistante dans le référentiel;540832;Erreur;70400356814
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400355618;Donnée inexistante dans le référentiel;540833;Erreur;42400355618
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300017275;Donnée inexistante dans le référentiel;540827;Erreur;80300017275
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100148876;Donnée inexistante dans le référentiel;540843;Erreur;32100148876
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;51300201252;Donnée inexistante dans le référentiel;540805;Erreur;51300201252
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;60400016763;Donnée inexistante dans le référentiel;540840;Erreur;60400016763
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400011601;Donnée inexistante dans le référentiel;540829;Erreur;42400011601
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300168526;Donnée inexistante dans le référentiel;540842;Erreur;80300168526
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70200005462;Donnée inexistante dans le référentiel;540831;Erreur;70200005462
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300024266;Donnée inexistante dans le référentiel;540821;Erreur;80300024266
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70500206979;Donnée inexistante dans le référentiel;540825;Erreur;70500206979
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;61200201656;Donnée inexistante dans le référentiel;540773;Erreur;61200201656
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;16000218574;Donnée inexistante dans le référentiel;540819;Erreur;16000218574
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70400005557;Donnée inexistante dans le référentiel;540823;Erreur;70400005557
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;96200000918;Donnée inexistante dans le référentiel;540826;Erreur;96200000918
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400354814;Donnée inexistante dans le référentiel;540861;Erreur;42400354814
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32100148450;Donnée inexistante dans le référentiel;540815;Erreur;32100148450
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;32400001707;Donnée inexistante dans le référentiel;540814;Erreur;32400001707
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;95800349732;Donnée inexistante dans le référentiel;540837;Erreur;95800349732
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42600356862;Donnée inexistante dans le référentiel;540762;Erreur;42600356862
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;52900172262;Donnée inexistante dans le référentiel;540813;Erreur;52900172262
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;60400007127;Donnée inexistante dans le référentiel;540806;Erreur;60400007127
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;11200006182;Donnée inexistante dans le référentiel;540812;Erreur;11200006182
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55200175682;Donnée inexistante dans le référentiel;540824;Erreur;55200175682
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55200007088;Donnée inexistante dans le référentiel;540809;Erreur;55200007088
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80100211495;Donnée inexistante dans le référentiel;540808;Erreur;80100211495
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300189035;Donnée inexistante dans le référentiel;540804;Erreur;80300189035
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300023559;Donnée inexistante dans le référentiel;540803;Erreur;80300023559
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;55200012530;Donnée inexistante dans le référentiel;540802;Erreur;55200012530
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;51300131253;Donnée inexistante dans le référentiel;540800;Erreur;51300131253
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500193248;Donnée inexistante dans le référentiel;540788;Erreur;41500193248
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500352131;Donnée inexistante dans le référentiel;540785;Erreur;41500352131
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500007774;Donnée inexistante dans le référentiel;540779;Erreur;41500007774
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500351095;Donnée inexistante dans le référentiel;540776;Erreur;41500351095
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300220122;Donnée inexistante dans le référentiel;540807;Erreur;80300220122
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500352128;Donnée inexistante dans le référentiel;540769;Erreur;41500352128
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400355361;Donnée inexistante dans le référentiel;540818;Erreur;42400355361
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;51300008078;Donnée inexistante dans le référentiel;540798;Erreur;51300008078
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500239541;Donnée inexistante dans le référentiel;540767;Erreur;41500239541
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;42400012060;Donnée inexistante dans le référentiel;540801;Erreur;42400012060
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;12700158471;Donnée inexistante dans le référentiel;540820;Erreur;12700158471
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;70500210198;Donnée inexistante dans le référentiel;540797;Erreur;70500210198
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300230199;Donnée inexistante dans le référentiel;540796;Erreur;80300230199
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;80300013818;Donnée inexistante dans le référentiel;540817;Erreur;80300013818
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;23500000001;Donnée inexistante dans le référentiel;540799;Erreur;23500000001
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500352141;Donnée inexistante dans le référentiel;540756;Erreur;41500352141
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;23500007518;Donnée inexistante dans le référentiel;540795;Erreur;23500007518
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;61200007131;Donnée inexistante dans le référentiel;540758;Erreur;61200007131
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;10200228693;Donnée inexistante dans le référentiel;540793;Erreur;10200228693
idIntBen;SYN002;Ce champ peut prendre les valeurs du referentiel identifiant interne des personnes physiques ou morales deja declarés;41500354987;Donnée inexistante dans le référentiel;540775;Erreur;41500354987
