"actif";"code";"nom";"participant";"libelle"
"false";"160";"CRG-SA";"GN/101";"N'Zérékoré 1"
"false";"161";"CRG-SA";"GN/101";"N'Zérékoré 2"
"false";"162";"CRG-SA";"GN/101";"Gouécké"
"false";"163";"CRG-SA";"GN/101";"Koulé"
"false";"164";"CRG-SA";"GN/101";"Samoé"
"false";"165";"CRG-SA";"GN/101";"Soulouta"
"false";"166";"CRG-SA";"GN/101";"Kobéla"
"false";"167";"CRG-SA";"GN/101";"Palé"
"false";"168";"CRG-SA";"GN/101";"GUECKEDOU"
"false";"169";"CRG-SA";"GN/101";"GUENDEMDOU"
"false";"170";"CRG-SA";"GN/101";"KOUNDOU"
"false";"171";"CRG-SA";"GN/101";"NOGOA"
"false";"172";"CRG-SA";"GN/101";"TEMESSADOU"
"false";"173";"CRG-SA";"GN/101";"OUENDE KENE"
"false";"174";"CRG-SA";"GN/101";"MACENTA"
"false";"175";"CRG-SA";"GN/101";"BOFOSSOU"
"false";"176";"CRG-SA";"GN/101";"BINIKALA"
"false";"177";"CRG-SA";"GN/101";"DARO"
"false";"178";"CRG-SA";"GN/101";"PANZIAZOU"
"false";"179";"CRG-SA";"GN/101";"SEREDOU"
"false";"180";"CRG-SA";"GN/101";"KOUANKAN"
"false";"181";"CRG-SA";"GN/101";"KOYAMAH"
"false";"182";"CRG-SA";"GN/101";"FASSANKONY"
"false";"001";"MON CRÉDIT GUINÉE SA";"GN/102";"Matoto"
"false";"001";"MGE";"GN/103";"Kankan"
"false";"002";"MGE";"GN/103";"Kissidougou"
"false";"003";"MGE";"GN/103";"Siguiri"
"false";"001";"CPECG-YETE MALI";"GN/104";"Kipé Kaporo"
"false";"002";"CPECG-YETE MALI";"GN/104";"Taouyah"
"false";"003";"CPECG-YETE MALI";"GN/104";"Kaloum"
"false";"004";"CPECG-YETE MALI";"GN/104";"Mamou"
"false";"005";"CPECG-YETE MALI";"GN/104";"Labé"
"false";"006";"CPECG-YETE MALI";"GN/104";"Kankan"
"false";"007";"CPECG-YETE MALI";"GN/104";"Siguiri"
"false";"008";"CPECG-YETE MALI";"GN/104";"Mandiana"
"false";"009";"CPECG-YETE MALI";"GN/104";"Kissidougou"
"false";"010";"CPECG-YETE MALI";"GN/104";"N'zérékoré"
"false";"011";"CPECG-YETE MALI";"GN/104";"Maferinyah"
"false";"012";"CPECG-YETE MALI";"GN/104";"Kolaboui"
"false";"013";"CPECG-YETE MALI";"GN/104";"Sangarédi"
"false";"014";"CPECG-YETE MALI";"GN/104";"Kamsar"
"false";"015";"CPECG-YETE MALI";"GN/104";"Dubréka"
"false";"016";"CPECG-YETE MALI";"GN/104";"KM 36"
"false";"017";"CPECG-YETE MALI";"GN/104";"Forécariah"
"false";"018";"CPECG-YETE MALI";"GN/104";"Coyah"
"false";"019";"CPECG-YETE MALI";"GN/104";"Kindia"
"false";"020";"CPECG-YETE MALI";"GN/104";"Mafanco"
"false";"021";"CPECG-YETE MALI";"GN/104";"Matam"
"false";"022";"CPECG-YETE MALI";"GN/104";"Dixinn"
"false";"023";"CPECG-YETE MALI";"GN/104";"Hamdallaye"
"false";"024";"CPECG-YETE MALI";"GN/104";"Simbayah"
"false";"025";"CPECG-YETE MALI";"GN/104";"Lambanyi"
"false";"026";"CPECG-YETE MALI";"GN/104";"Gbessia"
"false";"027";"CPECG-YETE MALI";"GN/104";"Yimbayah"
"false";"028";"CPECG-YETE MALI";"GN/104";"Matoto"
"false";"029";"CPECG-YETE MALI";"GN/104";"Sangoyah"
"false";"030";"CPECG-YETE MALI";"GN/104";"Enta"
"false";"031";"CPECG-YETE MALI";"GN/104";"Sonfoniah"
"false";"032";"CPECG-YETE MALI";"GN/104";"Kagbelen"
"false";"001";"3AE";"GN/105";"Kamsar"
"false";"002";"3AE";"GN/105";"Kankan"
"false";"003";"3AE";"GN/105";"Kissidougou"
"false";"004";"3AE";"GN/105";"N'zérékoré"
"false";"001";"SABOU";"GN/106";"Enco 5"
"false";"002";"SABOU";"GN/106";"Cosa"
"false";"003";"SABOU";"GN/106";"Enta"
"false";"004";"SABOU";"GN/106";"KM 36"
"false";"001";"FINADEV SA";"GN/107";"Coleah"
"false";"002";"FINADEV SA";"GN/107";"Madina"
"false";"003";"FINADEV SA";"GN/107";"Belle-vue"
"false";"004";"FINADEV SA";"GN/107";"Yimbayah"
"false";"005";"FINADEV SA";"GN/107";"Matoto"
"false";"006";"FINADEV SA";"GN/107";"Nongo"
"false";"007";"FINADEV SA";"GN/107";"Sonfonia"
"false";"008";"FINADEV SA";"GN/107";"Kindia"
"false";"009";"FINADEV SA";"GN/107";"Mamou"
"false";"010";"FINADEV SA";"GN/107";"Dalaba"
"false";"011";"FINADEV SA";"GN/107";"Pita"
"false";"012";"FINADEV SA";"GN/107";"Timbi Madina"
"false";"013";"FINADEV SA";"GN/107";"Labé"
"false";"014";"FINADEV SA";"GN/107";"Dabola"
"false";"015";"FINADEV SA";"GN/107";"Kouroussa"
"false";"016";"FINADEV SA";"GN/107";"Kankan"
"false";"017";"FINADEV SA";"GN/107";"Siguiri"
"false";"018";"FINADEV SA";"GN/107";"Faranah"
"false";"019";"FINADEV SA";"GN/107";"Kissidougou"
"false";"020";"FINADEV SA";"GN/107";"Guekedou"
"false";"021";"FINADEV SA";"GN/107";"Macenta"
"false";"022";"FINADEV SA";"GN/107";"Lola"
"false";"023";"FINADEV SA";"GN/107";"N'zérékoré"
"false";"001";"MUFFA ET MC2";"GN/108";"MC2 FELLAH"
